name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033886021|22 01 54.10|-61 42 26.0|2016-04-09T02:34:58|2016-04-19T00:00:00|  1078.60900|   1045.62200|  1092.00000|  2016-04-20| 3.8172
ASASSN-15lh             |00033830064|22 02 10.17|-61 41 48.2|2016-02-19T02:44:58|2016-02-29T00:00:00|  2270.58400|   2196.74300|  2293.00000|  2016-03-01| 2.3126
ASASSN-15lh             |00033830020|22 02 08.37|-61 41 21.9|2015-07-14T02:39:58|2015-07-24T00:00:00|  2185.03000|   2046.41900|  2771.00000|  2015-07-25| 1.9750
ASASSN-15lh             |00033830062|22 02 18.42|-61 41 21.2|2016-02-11T08:20:58|2016-02-21T00:00:00|  1990.74000|   1916.45100|  2010.00000|  2016-02-22| 1.8102
ASASSN-15lh             |00033886065|22 01 45.35|-61 41 20.9|2016-10-27T20:52:57|2016-11-06T00:00:00|  2326.76200|   2273.12300|  2343.00000|  2016-11-07| 3.9849
ASASSN-15lh             |00033830068|22 02 19.63|-61 41 16.7|2016-03-10T11:21:58|2016-03-20T00:00:00|  1219.16200|   1180.26800|  1234.00000|  2016-03-21| 1.7726
ASASSN-15lh             |00033830021|22 02 09.76|-61 41 12.9|2015-07-14T15:21:58|2015-07-24T00:00:00|   188.08900|    187.84700|   195.00000|  2015-07-25| 1.7705
ASASSN-15lh             |00033886022|22 01 50.48|-61 41 09.0|2016-04-11T00:36:58|2016-04-21T00:00:00|  1256.72300|   1239.46000|  1265.00000|  2016-04-22| 3.3531
ASASSN-15lh             |00033886025|22 02 17.59|-61 40 49.1|2016-04-27T04:34:58|2016-05-07T00:00:00|  2396.96400|   2344.52800|  2416.00000|  2016-05-08| 1.2660
ASASSN-15lh             |00033886019|22 02 24.38|-61 40 44.1|2016-03-30T05:06:58|2016-04-09T00:00:00|  1977.61000|   1877.24100|  2001.00000|  2016-04-10| 1.5697
ASASSN-15lh             |00033886017|22 02 37.78|-61 40 33.2|2016-03-25T05:14:57|2016-04-04T00:00:00|   829.97600|    801.11100|   804.00000|  2016-04-05| 2.8240
ASASSN-15lh             |00033830026|22 02 14.90|-61 40 27.5|2015-07-17T11:41:58|2015-07-27T00:00:00|   406.16400|    403.80500|   600.00000|  2015-07-28| 0.8842
ASASSN-15lh             |00033830060| 22 02 18.6|-61 40 24.3|2016-01-09T17:06:58|2016-01-19T00:00:00|  2976.22600|   2924.51900|  2988.00000|  2016-01-20| 0.8832
ASASSN-15lh             |00033886023|22 02 24.60|-61 40 20.9|2016-04-21T17:51:32|2016-05-01T00:00:00|   784.16700|    769.54600|   775.00000|  2016-05-02| 1.3318
ASASSN-15lh             |00033830024|22 02 17.43|-61 40 20.4|2015-07-18T16:13:58|2015-07-28T00:00:00|  1526.94700|   1503.26800|  1534.00000|  2015-07-29| 0.7991
ASASSN-15lh             |00033830012|22 02 17.19|-61 40 18.8|2015-07-13T11:46:58|2015-07-23T00:00:00|   188.03900|    185.19900|   300.00000|  2015-07-24| 0.7645
ASASSN-15lh             |00033886031|22 02 20.83|-61 40 17.6|2016-05-15T15:48:58|2016-05-25T00:00:00|  2590.02300|   2533.33500|  2608.00000|  2016-05-26| 0.9594
ASASSN-15lh             |00033886026|22 02 23.66|-61 40 15.2|2016-04-30T21:58:58|2016-05-10T00:00:00|  2914.40400|   2879.60300|  2928.00000|  2016-05-11| 1.1864
ASASSN-15lh             |00033830038|22 01 37.68|-61 40 14.1|2015-09-25T19:07:58|2015-10-05T00:00:00|  2860.81800|   2768.66800|  2880.00000|  2015-10-06| 4.5295
